order_id,profit,Profit_Tier
ID-2014-23075,-2.30400,Loss
MX-2014-113236,51.72000,"High Profit"
ES-2014-3909772,8.91000,"Low Profit"
IT-2011-2536577,0.00000,"Low Profit"
ES-2014-2949307,1.04700,"Low Profit"
IN-2014-14458,18.45000,"Low Profit"
IN-2014-46777,3.33000,"Low Profit"
TU-2014-6410,-6.77400,Loss
IN-2013-50536,-6.61500,Loss
US-2013-115756,-19.13600,Loss
IZ-2013-3780,18.84000,"Low Profit"
SU-2013-4080,12.24000,"Low Profit"
IN-2011-31496,25.38000,"Low Profit"
IT-2013-1399443,-3.07500,Loss
CA-2014-112725,-13.58820,Loss
NI-2012-7400,-23.38500,Loss
IN-2014-13296,17.64000,"Low Profit"
CA-2011-126907,5.10120,"Low Profit"
LY-2014-4680,14.16000,"Low Profit"
IN-2014-32014,4.92000,"Low Profit"
MG-2011-9660,211.50000,"High Profit"
ES-2014-2538935,43.92000,"Low Profit"
IN-2012-23089,0.24000,"Low Profit"
CA-2011-157147,238.65300,"High Profit"
IN-2014-27303,27.18000,"Low Profit"
NI-2013-6670,-4.77000,Loss
ES-2014-5167464,2.04000,"Low Profit"
IN-2011-81833,102.84000,"High Profit"
CA-2014-3540,75.90000,"High Profit"
IT-2013-2494403,15.54000,"Low Profit"
IN-2012-40029,27.36000,"Low Profit"
US-2013-116771,-27.38400,Loss
IN-2013-52734,10.08000,"Low Profit"
NI-2014-8880,-31.25400,Loss
NI-2011-4760,-89.74200,Loss
CA-2011-117345,5.92110,"Low Profit"
IT-2014-3798415,-128.94000,Loss
IR-2011-3890,102.45000,"High Profit"
IT-2013-4258921,-113.85000,Loss
MX-2011-165526,27.20000,"Low Profit"
ES-2014-5706764,2.16000,"Low Profit"
CA-2014-161102,15.27120,"Low Profit"
PL-2013-2260,21.03000,"Low Profit"
ES-2011-3104322,1.35000,"Low Profit"
US-2011-157021,5.55360,"Low Profit"
CA-2014-161893,-3.62120,Loss
ID-2011-86950,-33.87600,Loss
BU-2012-7980,114.30000,"High Profit"
IT-2012-5303768,-362.78400,Loss
IN-2013-40218,5.52000,"Low Profit"
ID-2014-23201,-14.55600,Loss
CA-2011-113880,-172.11720,Loss
MX-2013-151022,20.37688,"Low Profit"
IT-2013-5130549,-53.44200,Loss
ES-2014-2172414,-22.68600,Loss
CA-2012-137946,4.49000,"Low Profit"
ES-2013-2898079,10.26000,"Low Profit"
CA-2014-139304,2.22820,"Low Profit"
ID-2013-75869,58.33800,"High Profit"
TU-2011-5460,-5.72400,Loss
IN-2014-51635,37.63920,"Low Profit"
MX-2011-115140,8.44000,"Low Profit"
CA-2013-124100,54.66600,"High Profit"
MX-2014-161354,116.80000,"High Profit"
US-2011-154767,-34.04800,Loss
MX-2014-156566,-257.14332,Loss
IN-2012-43165,9.00000,"Low Profit"
ID-2013-53833,246.45600,"High Profit"
IV-2014-6290,107.76000,"High Profit"
MO-2013-860,215.76000,"High Profit"
ES-2014-2067525,61.02000,"High Profit"
IN-2013-73412,47.70000,"Low Profit"
ES-2013-5080538,4.32000,"Low Profit"
ES-2013-4405513,55.44000,"High Profit"
IN-2012-51173,486.05400,"High Profit"
ES-2013-5306452,63.84000,"High Profit"
BN-2011-1530,16.23000,"Low Profit"
ID-2014-82463,-42.69600,Loss
MX-2014-167899,131.98000,"High Profit"
ES-2013-2386093,30.87000,"Low Profit"
TU-2012-4890,-30.31200,Loss
ES-2013-3509742,28.98000,"Low Profit"
CA-2012-153388,3.36000,"Low Profit"
ES-2014-5318878,34.33200,"Low Profit"
ES-2014-2280822,18.54000,"Low Profit"
ID-2011-56969,656.64000,"High Profit"
ZA-2014-6660,31.80000,"Low Profit"
US-2013-140494,-3.92400,Loss
CA-2012-138625,55.36160,"High Profit"
IZ-2013-230,46.80000,"Low Profit"
IN-2013-42311,14.28000,"Low Profit"
ES-2013-5114494,360.48000,"High Profit"
ES-2011-3525697,-0.97200,Loss
ES-2013-1436499,-44.42400,Loss
KE-2014-4540,6.00000,"Low Profit"
IT-2011-3203475,-0.14400,Loss
CA-2014-138618,3.62880,"Low Profit"
CA-2014-122539,5.17920,"Low Profit"
US-2013-168074,-59.29600,Loss
ES-2014-2933395,81.18000,"High Profit"
CA-2012-104514,2.65680,"Low Profit"
ES-2012-1663353,23.13000,"Low Profit"
ES-2011-1664904,105.75000,"High Profit"
MX-2014-169418,4.40000,"Low Profit"
US-2014-150315,-3.51600,Loss
IN-2013-82554,485.28000,"High Profit"
IN-2011-52748,0.83160,"Low Profit"
ES-2013-2481532,24.00000,"Low Profit"
UZ-2012-9360,23.28000,"Low Profit"
NI-2013-3260,-3.25200,Loss
NI-2013-3260,-140.64000,Loss
RS-2014-7500,32.46000,"Low Profit"
IN-2011-18959,0.00000,"Low Profit"
CA-2012-129770,23.08640,"Low Profit"
IN-2013-52944,43.38000,"Low Profit"
TZ-2013-620,0.00000,"Low Profit"
TU-2013-510,-83.02200,Loss
ID-2013-22459,-10.29000,Loss
IN-2013-79929,36.77100,"Low Profit"
CA-2012-132374,20.63360,"Low Profit"
CA-2012-157322,6.00250,"Low Profit"
US-2012-169222,-12.81600,Loss
MX-2012-140767,352.90000,"High Profit"
CA-2013-164784,-142.07100,Loss
MX-2011-144883,13.16000,"Low Profit"
TZ-2013-140,13.56000,"Low Profit"
IN-2013-21038,18.63000,"Low Profit"
ES-2014-2280822,56.88000,"High Profit"
US-2012-141250,-154.51200,Loss
MX-2013-128160,39.42000,"Low Profit"
CA-2013-168956,1.83120,"Low Profit"
ID-2014-33638,-114.49200,Loss
TU-2011-9940,-161.11200,Loss
CA-2012-157322,48.99420,"Low Profit"
TU-2013-3100,-4.41600,Loss
CA-2014-124940,-2.99400,Loss
EZ-2014-8460,149.04000,"High Profit"
US-2014-129126,4.04000,"Low Profit"
IN-2014-83919,38.88000,"Low Profit"
TU-2013-510,-19.18800,Loss
NI-2014-8530,-17.13600,Loss
CA-2014-151176,6.50520,"Low Profit"
IN-2014-37117,36.82800,"Low Profit"
CA-2011-157721,4.94970,"Low Profit"
ID-2013-61736,-74.77950,Loss
CA-2014-145233,30.47760,"Low Profit"
IN-2013-28759,17.28000,"Low Profit"
SF-2011-6380,779.52000,"High Profit"
ES-2013-1650308,223.23600,"High Profit"
AG-2014-6650,14.64000,"Low Profit"
CA-2014-121559,793.71600,"High Profit"
SA-2011-7130,4.86000,"Low Profit"
IS-2014-420,45.42000,"Low Profit"
US-2013-102379,-10.20000,Loss
IN-2011-43599,7.56000,"Low Profit"
IN-2012-64494,65.88000,"High Profit"
ES-2013-3894596,219.51000,"High Profit"
ES-2012-2332844,-27.48000,Loss
MX-2014-106432,49.42824,"Low Profit"
ES-2012-2694947,711.48000,"High Profit"
ES-2014-2057259,34.56000,"Low Profit"
NI-2011-7830,-368.40600,Loss
IN-2014-26470,4.71000,"Low Profit"
ID-2014-24363,-67.35420,Loss
CG-2011-6250,9.48000,"Low Profit"
ID-2013-86243,-15.69600,Loss
TZ-2014-9930,10.98000,"Low Profit"
ID-2013-72936,-10.11180,Loss
EG-2014-1540,13.68000,"Low Profit"
SF-2014-3260,728.70000,"High Profit"
CA-2014-140949,9.00000,"Low Profit"
US-2011-104759,13.99720,"Low Profit"
IT-2012-5960351,8.91000,"Low Profit"
ID-2013-86299,-84.66000,Loss
SF-2014-840,6.42000,"Low Profit"
IN-2014-65194,6.24000,"Low Profit"
IN-2013-65075,55.89000,"High Profit"
MX-2011-131996,22.40000,"Low Profit"
IN-2014-19120,85.77000,"High Profit"
IN-2014-75855,43.20000,"Low Profit"
