month,revenue,running_total
2011-01,6757.00,6757.00
2011-02,6046.00,12803.00
2011-03,6461.00,19264.00
2011-04,6701.00,25965.00
2011-05,6526.00,32491.00
2011-06,1112.00,33603.00
2011-07,4506.00,38109.00
2011-08,4803.00,42912.00
2011-09,6318.00,49230.00
2011-10,5196.00,54426.00
2011-11,2200.00,56626.00
2011-12,3888.00,60514.00
2012-01,3415.00,63929.00
2012-02,4123.00,68052.00
2012-03,4637.00,72689.00
2012-04,5659.00,78348.00
2012-05,1788.00,80136.00
2012-06,7429.00,87565.00
2012-07,6757.00,94322.00
2012-08,4714.00,99036.00
2012-09,7017.00,106053.00
2012-10,4347.00,110400.00
2012-11,6097.00,116497.00
2012-12,3085.00,119582.00
2013-01,5632.00,125214.00
2013-02,7166.00,132380.00
2013-03,2898.00,135278.00
2013-04,6838.00,142116.00
2013-05,13401.00,155517.00
2013-06,5359.00,160876.00
2013-07,3936.00,164812.00
2013-08,5492.00,170304.00
2013-09,2361.00,172665.00
2013-10,5074.00,177739.00
2013-11,3442.00,181181.00
2013-12,1994.00,183175.00
2014-01,6125.00,189300.00
2014-02,7104.00,196404.00
2014-03,9299.00,205703.00
2014-04,5173.00,210876.00
2014-05,4687.00,215563.00
2014-06,3981.00,219544.00
2014-07,2768.00,222312.00
2014-08,12898.00,235210.00
2014-09,3429.00,238639.00
2014-10,5010.00,243649.00
2014-11,15790.00,259439.00
2014-12,3356.00,262795.00
