month,revenue,prev_month_revenue,revenue_change,next_month_revenue
2011-01,6757.00,NULL,NULL,6046.00
2011-02,6046.00,6757.00,-711.00,6461.00
2011-03,6461.00,6046.00,415.00,6701.00
2011-04,6701.00,6461.00,240.00,6526.00
2011-05,6526.00,6701.00,-175.00,1112.00
2011-06,1112.00,6526.00,-5414.00,4506.00
2011-07,4506.00,1112.00,3394.00,4803.00
2011-08,4803.00,4506.00,297.00,6318.00
2011-09,6318.00,4803.00,1515.00,5196.00
2011-10,5196.00,6318.00,-1122.00,2200.00
2011-11,2200.00,5196.00,-2996.00,3888.00
2011-12,3888.00,2200.00,1688.00,3415.00
2012-01,3415.00,3888.00,-473.00,4123.00
2012-02,4123.00,3415.00,708.00,4637.00
2012-03,4637.00,4123.00,514.00,5659.00
2012-04,5659.00,4637.00,1022.00,1788.00
2012-05,1788.00,5659.00,-3871.00,7429.00
2012-06,7429.00,1788.00,5641.00,6757.00
2012-07,6757.00,7429.00,-672.00,4714.00
2012-08,4714.00,6757.00,-2043.00,7017.00
2012-09,7017.00,4714.00,2303.00,4347.00
2012-10,4347.00,7017.00,-2670.00,6097.00
2012-11,6097.00,4347.00,1750.00,3085.00
2012-12,3085.00,6097.00,-3012.00,5632.00
2013-01,5632.00,3085.00,2547.00,7166.00
2013-02,7166.00,5632.00,1534.00,2898.00
2013-03,2898.00,7166.00,-4268.00,6838.00
2013-04,6838.00,2898.00,3940.00,13401.00
2013-05,13401.00,6838.00,6563.00,5359.00
2013-06,5359.00,13401.00,-8042.00,3936.00
2013-07,3936.00,5359.00,-1423.00,5492.00
2013-08,5492.00,3936.00,1556.00,2361.00
2013-09,2361.00,5492.00,-3131.00,5074.00
2013-10,5074.00,2361.00,2713.00,3442.00
2013-11,3442.00,5074.00,-1632.00,1994.00
2013-12,1994.00,3442.00,-1448.00,6125.00
2014-01,6125.00,1994.00,4131.00,7104.00
2014-02,7104.00,6125.00,979.00,9299.00
2014-03,9299.00,7104.00,2195.00,5173.00
2014-04,5173.00,9299.00,-4126.00,4687.00
2014-05,4687.00,5173.00,-486.00,3981.00
2014-06,3981.00,4687.00,-706.00,2768.00
2014-07,2768.00,3981.00,-1213.00,12898.00
2014-08,12898.00,2768.00,10130.00,3429.00
2014-09,3429.00,12898.00,-9469.00,5010.00
2014-10,5010.00,3429.00,1581.00,15790.00
2014-11,15790.00,5010.00,10780.00,3356.00
2014-12,3356.00,15790.00,-12434.00,NULL
