month,profit
2011-01,415.11170
2011-02,1052.11730
2011-03,615.72930
2011-04,80.01200
2011-05,164.79760
2011-06,-0.27380
2011-07,-163.42940
2011-08,-737.61020
2011-09,76.31600
2011-10,682.62430
2011-11,122.04240
2011-12,847.50156
2012-01,228.32300
2012-02,1138.59710
2012-03,1010.32306
2012-04,431.16160
2012-05,207.69460
2012-06,2317.47200
2012-07,1304.57650
2012-08,217.55240
2012-09,80.22860
2012-10,-316.71700
2012-11,1490.86650
2012-12,-180.29100
2013-01,691.98488
2013-02,923.14790
2013-03,209.60440
2013-04,1214.89920
2013-05,2985.85620
2013-06,-149.40210
2013-07,772.27560
2013-08,641.11500
2013-09,-23.82760
2013-10,-104.34330
2013-11,312.51320
2013-12,600.06730
2014-01,254.84488
2014-02,1253.80084
2014-03,2288.82210
2014-04,1106.25560
2014-05,1340.70370
2014-06,818.85760
2014-07,87.26800
2014-08,737.04990
2014-09,527.77230
2014-10,769.28030
2014-11,651.50210
2014-12,567.59280
