month,Revenue
2011-01,6757.00
2011-02,6046.00
2011-03,6461.00
2011-04,6701.00
2011-05,6526.00
2011-06,1112.00
2011-07,4506.00
2011-08,4803.00
2011-09,6318.00
2011-10,5196.00
2011-11,2200.00
2011-12,3888.00
2012-01,3415.00
2012-02,4123.00
2012-03,4637.00
2012-04,5659.00
2012-05,1788.00
2012-06,7429.00
2012-07,6757.00
2012-08,4714.00
2012-09,7017.00
2012-10,4347.00
2012-11,6097.00
2012-12,3085.00
2013-01,5632.00
2013-02,7166.00
2013-03,2898.00
2013-04,6838.00
2013-05,13401.00
2013-06,5359.00
2013-07,3936.00
2013-08,5492.00
2013-09,2361.00
2013-10,5074.00
2013-11,3442.00
2013-12,1994.00
2014-01,6125.00
2014-02,7104.00
2014-03,9299.00
2014-04,5173.00
2014-05,4687.00
2014-06,3981.00
2014-07,2768.00
2014-08,12898.00
2014-09,3429.00
2014-10,5010.00
2014-11,15790.00
2014-12,3356.00
